WKT,address_id,source_dataset,change_id,full_address_number,full_road_name,full_address,territorial_authority,unit_type,unit_value,level_type,level_value,address_number_prefix,address_number,address_number_suffix,address_number_high,road_name_prefix,road_name,road_type_name,road_suffix,water_name,water_body_name,suburb_locality,town_city,address_class,address_lifecycle,gd2000_xcoord,gd2000_ycoord,road_name_ascii,water_name_ascii,water_body_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (1271704.22711343 5014445.84428954),5813,AIMS,5659,9,Hood Crescent,"9 Hood Crescent, Arrowtown",Queenstown-Lakes District,,,,,,9,,,,Hood,Crescent,,,,Arrowtown,Arrowtown,Thoroughfare,Current,168.8384236,-44.94754977,Hood,,,Arrowtown,Arrowtown,Hood Crescent,"9 Hood Crescent, Arrowtown",1271704.227,5014445.844
POINT (1259785.84174112 5004460.05208267),1317338,AIMS,1160443,11,Star Lane,"11 Star Lane, Queenstown",Queenstown-Lakes District,,,,,,11,,,,Star,Lane,,,,Queenstown,Queenstown,Thoroughfare,Current,168.6810245,-45.03158647,Star,,,Queenstown,Queenstown,Star Lane,"11 Star Lane, Queenstown",1259785.842,5004460.052
POINT (1256058.68560115 5002924.72361248),1444697,AIMS,1259604,5,Crystal Lane,"5 Crystal Lane, Fernhill, Queenstown",Queenstown-Lakes District,,,,,,5,,,,Crystal,Lane,,,,Fernhill,Queenstown,Thoroughfare,Current,168.6327955,-45.04356973,Crystal,,,Fernhill,Queenstown,Crystal Lane,"5 Crystal Lane, Fernhill, Queenstown",1256058.686,5002924.724
POINT (1268697.41400071 5013855.58207106),1930936,AIMS,1497879,1,Heenan Lane,"1 Heenan Lane, Arrowtown",Queenstown-Lakes District,,,,,,1,,,,Heenan,Lane,,,,Arrowtown,Arrowtown,Thoroughfare,Current,168.8000232,-44.95145503,Heenan,,,Arrowtown,Arrowtown,Heenan Lane,"1 Heenan Lane, Arrowtown",1268697.414,5013855.582
POINT (1260715.46557585 5005307.15684688),3132006,CADS,132006,1A,Panners Way,"1A Panners Way, Queenstown",Queenstown-Lakes District,,,,,,1,A,,,Panners,Way,,,,Queenstown,Queenstown,Thoroughfare,Current,168.6933639,-45.02442777,Panners,,,Queenstown,Queenstown,Panners Way,"1A Panners Way, Queenstown",1260715.466,5005307.157
POINT (1258309.91085125 5004611.7181161),3132467,CADS,132467,11C,Henry Street,"11C Henry Street, Queenstown",Queenstown-Lakes District,,,,,,11,C,,,Henry,Street,,,,Queenstown,Queenstown,Thoroughfare,Current,168.6624445,-45.02951568,Henry,,,Queenstown,Queenstown,Henry Street,"11C Henry Street, Queenstown",1258309.911,5004611.718
POINT (1257866.05835534 5005138.05329496),3132559,CADS,132559,8B,Reavers Lane,"8B Reavers Lane, Queenstown",Queenstown-Lakes District,,,,,,8,B,,,Reavers,Lane,,,,Queenstown,Queenstown,Thoroughfare,Current,168.6571841,-45.02457737,Reavers,,,Queenstown,Queenstown,Reavers Lane,"8B Reavers Lane, Queenstown",1257866.058,5005138.053
POINT (1258579.78575409 5004797.4937833),3134405,CADS,134405,Jul-15,Kerry Drive,"7/15 Kerry Drive, Queenstown",Queenstown-Lakes District,,7,,,,15,,,,Kerry,Drive,,,,Queenstown,Queenstown,Thoroughfare,Current,168.6659866,-45.02797808,Kerry,,,Queenstown,Queenstown,Kerry Drive,"7/15 Kerry Drive, Queenstown",1258579.786,5004797.494
POINT (1258646.45226839 5004134.83203009),3135270,CADS,135270,405/24,Frankton Road,"405/24 Frankton Road, Queenstown",Queenstown-Lakes District,,405,,,,24,,,,Frankton,Road,,,,Queenstown,Queenstown,Thoroughfare,Current,168.6663808,-45.03395828,Frankton,,,Queenstown,Queenstown,Frankton Road,"405/24 Frankton Road, Queenstown",1258646.452,5004134.832
POINT (1539544.15691014 5151528.71524457),906978,AIMS,2697003,75,Cowans Road,"75 Cowans Road, Leeston",Selwyn District,,,,,,75,,,,Cowans,Road,,,,Leeston,Leeston,Thoroughfare,Current,172.248629,-43.7868301,Cowans,,,Leeston,Leeston,Cowans Road,"75 Cowans Road, Leeston",1539544.157,5151528.715
POINT (1530601.6346575 5187974.88367974),123533,AIMS,117108,736,Tramway Road,"736 Tramway Road, Darfield",Selwyn District,,,,,,736,,,,Tramway,Road,,,,Darfield,Darfield,Thoroughfare,Current,172.1421776,-43.45791727,Tramway,,,Darfield,Darfield,Tramway Road,"736 Tramway Road, Darfield",1530601.635,5187974.884
POINT (1528050.79861291 5185289.96027563),151267,AIMS,142863,1,Kowhai Drive,"1 Kowhai Drive, Darfield",Selwyn District,,,,,,1,,,,Kowhai,Drive,,,,Darfield,Darfield,Thoroughfare,Current,172.1102963,-43.48184947,Kowhai,,,Darfield,Darfield,Kowhai Drive,"1 Kowhai Drive, Darfield",1528050.799,5185289.96
POINT (1533721.99113475 5186611.12555418),1437890,AIMS,1254522,26,Cooks Road,"26 Cooks Road, Darfield",Selwyn District,,,,,,26,,,,Cooks,Road,,,,Darfield,Darfield,Thoroughfare,Current,172.1805781,-43.4704786,Cooks,,,Darfield,Darfield,Cooks Road,"26 Cooks Road, Darfield",1533721.991,5186611.126
POINT (1543114.93939485 5154177.80700749),153829,AIMS,145262,10,Spring Place,"10 Spring Place, Leeston",Selwyn District,,,,,,10,,,,Spring,Place,,,,Leeston,Leeston,Thoroughfare,Current,172.2932857,-43.76326298,Spring,,,Leeston,Leeston,Spring Place,"10 Spring Place, Leeston",1543114.939,5154177.807
POINT (1543499.875072 5154815.34452498),154039,AIMS,145469,16,Pound Road,"16 Pound Road, Leeston",Selwyn District,,,,,,16,,,,Pound,Road,,,,Leeston,Leeston,Thoroughfare,Current,172.2981347,-43.75755257,Pound,,,Leeston,Leeston,Pound Road,"16 Pound Road, Leeston",1543499.875,5154815.345
POINT (1543445.22740687 5153825.97454009),154362,AIMS,145780,7,Woodville Street,"7 Woodville Street, Leeston",Selwyn District,,,,,,7,,,,Woodville,Street,,,,Leeston,Leeston,Thoroughfare,Current,172.2973517,-43.7664559,Woodville,,,Leeston,Leeston,Woodville Street,"7 Woodville Street, Leeston",1543445.227,5153825.975
POINT (1545890.39518503 5156072.55194051),154556,AIMS,2692599,3,Petticoat Lane,"3 Petticoat Lane, Doyleston",Selwyn District,,,,,,3,,,,Petticoat,Lane,,,,Doyleston,Doyleston,Thoroughfare,Current,172.3279553,-43.74641207,Petticoat,,,Doyleston,Doyleston,Petticoat Lane,"3 Petticoat Lane, Doyleston",1545890.395,5156072.552
POINT (1542312.5307083 5151939.86323179),903943,AIMS,802838,23,Bluetts Road,"23 Bluetts Road, Leeston",Selwyn District,,,,,,23,,,,Bluetts,Road,,,,Leeston,Leeston,Thoroughfare,Current,172.283077,-43.78334948,Bluetts,,,Leeston,Leeston,Bluetts Road,"23 Bluetts Road, Leeston",1542312.531,5151939.863
POINT (1543807.18595109 5154461.57610611),1671899,AIMS,1425187,42,High Street,"42 High Street, Leeston",Selwyn District,,,,,,42,,,,High,Street,,,,Leeston,Leeston,Thoroughfare,Current,172.3019149,-43.760761,High,,,Leeston,Leeston,High Street,"42 High Street, Leeston",1543807.186,5154461.576
POINT (1554612.23021173 5161733.87127401),1293938,AIMS,1143376,587,Days Road,"587 Days Road, Springston",Selwyn District,,,,,,587,,,,Days,Road,,,,Springston,Springston,Thoroughfare,Current,172.4367531,-43.69602588,Days,,,Springston,Springston,Days Road,"587 Days Road, Springston",1554612.23,5161733.871
POINT (1549302.29394612 5172998.30009695),154872,AIMS,2688400,19,John Street,"19 John Street, Rolleston",Selwyn District,,,,,,19,,,,John,Street,,,,Rolleston,Rolleston,Thoroughfare,Current,172.3719199,-43.5942626,John,,,Rolleston,Rolleston,John Street,"19 John Street, Rolleston",1549302.294,5172998.3
POINT (1550740.4553835 5172602.3167273),155640,AIMS,147017,14,Durrell Way,"14 Durrell Way, Rolleston",Selwyn District,,,,,,14,,,,Durrell,Way,,,,Rolleston,Rolleston,Thoroughfare,Current,172.3896998,-43.59792438,Durrell,,,Rolleston,Rolleston,Durrell Way,"14 Durrell Way, Rolleston",1550740.455,5172602.317
POINT (1854340.25889799 5716507.71333132),760808,AIMS,6479655,32,Marina Terrace,"32 Marina Terrace, Kinloch, Taupō",Taupo District,,,,,,32,,,,Marina,Terrace,,,,Kinloch,Taupō,Thoroughfare,Current,175.9231571,-38.66350937,Marina,,,Kinloch,Taupo,Marina Terrace,"32 Marina Terrace, Kinloch, Taupo",1854340.259,5716507.713
POINT (1548949.61978564 5172684.30683059),1529752,AIMS,1330619,245,Rolleston Drive,"245 Rolleston Drive, Rolleston",Selwyn District,,,,,,245,,,,Rolleston,Drive,,,,Rolleston,Rolleston,Thoroughfare,Current,172.3675213,-43.59706558,Rolleston,,,Rolleston,Rolleston,Rolleston Drive,"245 Rolleston Drive, Rolleston",1548949.62,5172684.307
POINT (1548991.93029187 5172653.71151308),1529802,AIMS,1330667,2,Henley Close,"2 Henley Close, Rolleston",Selwyn District,,,,,,2,,,,Henley,Close,,,,Rolleston,Rolleston,Thoroughfare,Current,172.3680426,-43.59734395,Henley,,,Rolleston,Rolleston,Henley Close,"2 Henley Close, Rolleston",1548991.93,5172653.712
POINT (1542761.66064884 5171931.17842174),1585609,AIMS,2769584,139,Grange Road,"139 Grange Road, Burnham",Selwyn District,,,,,,139,,,,Grange,Road,,,,Burnham,Burnham,Thoroughfare,Current,172.2907826,-43.60339652,Grange,,,Burnham,Burnham,Grange Road,"139 Grange Road, Burnham",1542761.661,5171931.178
POINT (1550032.07551007 5173586.24760431),1612648,AIMS,3197354,829,Jones Road,"829 Jones Road, Rolleston",Selwyn District,,,,,,829,,,,Jones,Road,,,,Rolleston,Rolleston,Thoroughfare,Current,172.3810147,-43.58901825,Jones,,,Rolleston,Rolleston,Jones Road,"829 Jones Road, Rolleston",1550032.076,5173586.248
POINT (1550955.98498236 5172879.34060905),1650364,AIMS,1411109,37,Masefield Drive,"37 Masefield Drive, Rolleston",Selwyn District,,,,,,37,,,,Masefield,Drive,,,,Rolleston,Rolleston,Thoroughfare,Current,172.3923951,-43.59544438,Masefield,,,Rolleston,Rolleston,Masefield Drive,"37 Masefield Drive, Rolleston",1550955.985,5172879.341
POINT (1550949.06178791 5173736.32937832),1715945,AIMS,4814559,4,Lewis Crescent,"4 Lewis Crescent, Rolleston",Selwyn District,,,,,,4,,,,Lewis,Crescent,,,,Rolleston,Rolleston,Thoroughfare,Current,172.3923869,-43.5877279,Lewis,,,Rolleston,Rolleston,Lewis Crescent,"4 Lewis Crescent, Rolleston",1550949.062,5173736.329
POINT (1551204.22973093 5173509.83517539),1716100,AIMS,3141449,25,Park Lane,"25 Park Lane, Rolleston",Selwyn District,,,,,,25,,,,Park,Lane,,,,Rolleston,Rolleston,Thoroughfare,Current,172.3955272,-43.58978393,Park,,,Rolleston,Rolleston,Park Lane,"25 Park Lane, Rolleston",1551204.23,5173509.835
POINT (1551508.49173868 5173397.0217388),1736812,AIMS,3140500,50,Strauss Drive,"50 Strauss Drive, Rolleston",Selwyn District,,,,,,50,,,,Strauss,Drive,,,,Rolleston,Rolleston,Thoroughfare,Current,172.399286,-43.59081953,Strauss,,,Rolleston,Rolleston,Strauss Drive,"50 Strauss Drive, Rolleston",1551508.492,5173397.022
POINT (1550008.3565308 5171343.13890033),1756317,AIMS,1474677,14,Manor Drive,"14 Manor Drive, Rolleston",Selwyn District,,,,,,14,,,,Manor,Drive,,,,Rolleston,Rolleston,Thoroughfare,Current,172.3805137,-43.60921275,Manor,,,Rolleston,Rolleston,Manor Drive,"14 Manor Drive, Rolleston",1550008.357,5171343.139
POINT (1550738.02992983 5170561.32522545),1766850,AIMS,3159222,1,Nettleship Way,"1 Nettleship Way, Rolleston",Selwyn District,,,,,,1,,,,Nettleship,Way,,,,Rolleston,Rolleston,Thoroughfare,Current,172.3894839,-43.61630053,Nettleship,,,Rolleston,Rolleston,Nettleship Way,"1 Nettleship Way, Rolleston",1550738.03,5170561.325
POINT (1550808.75776229 5171030.98808194),1856409,AIMS,3159947,10,Hungerford Drive,"10 Hungerford Drive, Rolleston",Selwyn District,,,,,,10,,,,Hungerford,Drive,,,,Rolleston,Rolleston,Thoroughfare,Current,172.3904031,-43.61207655,Hungerford,,,Rolleston,Rolleston,Hungerford Drive,"10 Hungerford Drive, Rolleston",1550808.758,5171030.988
POINT (1551273.19851706 5173661.83018113),2036953,AIMS,3141050,19,Kendon Drive,"19 Kendon Drive, Rolleston",Selwyn District,,,,,,19,,,,Kendon,Drive,,,,Rolleston,Rolleston,Thoroughfare,Current,172.3963952,-43.58841994,Kendon,,,Rolleston,Rolleston,Kendon Drive,"19 Kendon Drive, Rolleston",1551273.199,5173661.83
POINT (1550471.40161277 5170901.17191581),2225365,AIMS,5289444,77,Dynes Road,"77 Dynes Road, Rolleston",Selwyn District,,,,,,77,,,,Dynes,Road,,,,Rolleston,Rolleston,Thoroughfare,Current,172.3862108,-43.613223,Dynes,,,Rolleston,Rolleston,Dynes Road,"77 Dynes Road, Rolleston",1550471.402,5170901.172
POINT (1244004.16270654 4827965.00148105),93548,AIMS,88345,57,Gunpit Road,"57 Gunpit Road, Bluff",Invercargill City,,,,,,57,,,,Gunpit,Road,,,,Bluff,Bluff,Thoroughfare,Current,168.3510844,-46.60732327,Gunpit,,,Bluff,Bluff,Gunpit Road,"57 Gunpit Road, Bluff",1244004.163,4827965.001
POINT (1558407.77372967 5167646.52175987),157388,AIMS,148634,6,The Mews,"6 The Mews, Lincoln",Selwyn District,,,,,,6,,,,The Mews,,,,,Lincoln,Lincoln,Thoroughfare,Current,172.4843085,-43.64301273,The Mews,,,Lincoln,Lincoln,The Mews,"6 The Mews, Lincoln",1558407.774,5167646.522
POINT (1559043.66812779 5167653.51638298),157727,AIMS,148958,14,Tod Place,"14 Tod Place, Lincoln",Selwyn District,,,,,,14,,,,Tod,Place,,,,Lincoln,Lincoln,Thoroughfare,Current,172.492193,-43.64298505,Tod,,,Lincoln,Lincoln,Tod Place,"14 Tod Place, Lincoln",1559043.668,5167653.516
POINT (1558801.11007701 5168470.69896178),157808,AIMS,149034,33,James Street,"33 James Street, Lincoln",Selwyn District,,,,,,33,,,,James,Street,,,,Lincoln,Lincoln,Thoroughfare,Current,172.4892481,-43.63561397,James,,,Lincoln,Lincoln,James Street,"33 James Street, Lincoln",1558801.11,5168470.699
POINT (1560748.33092748 5174908.84102009),159136,AIMS,150270,2,Blakes Road,"2 Blakes Road, Prebbleton",Selwyn District,,,,,,2,,,,Blakes,Road,,,,Prebbleton,Prebbleton,Thoroughfare,Current,172.5138544,-43.57775148,Blakes,,,Prebbleton,Prebbleton,Blakes Road,"2 Blakes Road, Prebbleton",1560748.331,5174908.841
POINT (1560657.65236877 5174360.23876736),159246,AIMS,150367,6,Edward Street,"6 Edward Street, Prebbleton",Selwyn District,,,,,,6,,,,Edward,Street,,,,Prebbleton,Prebbleton,Thoroughfare,Current,172.5126915,-43.58268623,Edward,,,Prebbleton,Prebbleton,Edward Street,"6 Edward Street, Prebbleton",1560657.652,5174360.239
POINT (1559192.56663083 5167384.8943829),405364,AIMS,1582037,8B,Kidson Lane,"8B Kidson Lane, Lincoln",Selwyn District,,,,,,8,B,,,Kidson,Lane,,,,Lincoln,Lincoln,Thoroughfare,Current,172.4940188,-43.64541183,Kidson,,,Lincoln,Lincoln,Kidson Lane,"8B Kidson Lane, Lincoln",1559192.567,5167384.894
POINT (1561983.75027145 5169515.59856203),908396,AIMS,1506195,108,Barnes Road,"108 Barnes Road, Lincoln",Selwyn District,,,,,,108,,,,Barnes,Road,,,,Lincoln,Lincoln,Thoroughfare,Current,172.5287761,-43.62637538,Barnes,,,Lincoln,Lincoln,Barnes Road,"108 Barnes Road, Lincoln",1561983.75,5169515.599
POINT (1560292.22445558 5173531.04744571),907032,AIMS,804881,6,Highland Brae,"6 Highland Brae, Prebbleton",Selwyn District,,,,,,6,,,,Highland,Brae,,,,Prebbleton,Prebbleton,Thoroughfare,Current,172.5081046,-43.59013275,Highland,,,Prebbleton,Prebbleton,Highland Brae,"6 Highland Brae, Prebbleton",1560292.224,5173531.047
POINT (1560490.16897996 5166344.51262004),1335271,AIMS,4772489,12,River Road,"12 River Road, Lincoln",Selwyn District,,,,,,12,,,,River,Road,,,,Lincoln,Lincoln,Thoroughfare,Current,172.5100314,-43.65484923,River,,,Lincoln,Lincoln,River Road,"12 River Road, Lincoln",1560490.169,5166344.513
POINT (1558378.65232881 5167400.0700031),1657033,AIMS,3157516,5,Kotuku Street,"5 Kotuku Street, Lincoln",Selwyn District,,,,,,5,,,,Kotuku,Street,,,,Lincoln,Lincoln,Thoroughfare,Current,172.4839285,-43.64523008,Kotuku,,,Lincoln,Lincoln,Kotuku Street,"5 Kotuku Street, Lincoln",1558378.652,5167400.07
POINT (1558238.99751245 5167366.0917351),1676678,AIMS,3157439,6,Aua Street,"6 Aua Street, Lincoln",Selwyn District,,,,,,6,,,,Aua,Street,,,,Lincoln,Lincoln,Thoroughfare,Current,172.4821943,-43.64552818,Aua,,,Lincoln,Lincoln,Aua Street,"6 Aua Street, Lincoln",1558238.998,5167366.092
POINT (1560286.51131231 5174666.54474012),1696603,AIMS,3157823,4,Bellvue Drive,"4 Bellvue Drive, Prebbleton",Selwyn District,,,,,,4,,,,Bellvue,Drive,,,,Prebbleton,Prebbleton,Thoroughfare,Current,172.5081171,-43.57990862,Bellvue,,,Prebbleton,Prebbleton,Bellvue Drive,"4 Bellvue Drive, Prebbleton",1560286.511,5174666.545
POINT (1559384.18049598 5167437.28653727),1716333,AIMS,1451471,3,Gelens Place,"3 Gelens Place, Lincoln",Selwyn District,,,,,,3,,,,Gelens,Place,,,,Lincoln,Lincoln,Thoroughfare,Current,172.4963985,-43.6449506,Gelens,,,Lincoln,Lincoln,Gelens Place,"3 Gelens Place, Lincoln",1559384.18,5167437.287
POINT (1558046.47110868 5167198.6396694),1731285,AIMS,3157448,1,Turi Place,"1 Turi Place, Lincoln",Selwyn District,,,,,,1,,,,Turi,Place,,,,Lincoln,Lincoln,Thoroughfare,Current,172.4797942,-43.64702503,Turi,,,Lincoln,Lincoln,Turi Place,"1 Turi Place, Lincoln",1558046.471,5167198.64
POINT (1562014.36407609 5169313.71480725),1982515,AIMS,1517329,130,Barnes Road,"130 Barnes Road, Lincoln",Selwyn District,,,,,,130,,,,Barnes,Road,,,,Lincoln,Lincoln,Thoroughfare,Current,172.5291414,-43.62819467,Barnes,,,Lincoln,Lincoln,Barnes Road,"130 Barnes Road, Lincoln",1562014.364,5169313.715
POINT (1561406.57815314 5169048.32468194),2169932,AIMS,4678286,485,Ellesmere Road,"485 Ellesmere Road, Lincoln",Selwyn District,,,,,,485,,,,Ellesmere,Road,,,,Lincoln,Lincoln,Thoroughfare,Current,172.5215888,-43.6305529,Ellesmere,,,Lincoln,Lincoln,Ellesmere Road,"485 Ellesmere Road, Lincoln",1561406.578,5169048.325
POINT (1558440.8886 5167946.6639),3126933,CADS,126933,5,Gerald Street,"5 Gerald Street, Lincoln",Selwyn District,,,,,,5,,,,Gerald,Street,,,,Lincoln,Lincoln,Thoroughfare,Current,172.4847422,-43.64031219,Gerald,,,Lincoln,Lincoln,Gerald Street,"5 Gerald Street, Lincoln",1558440.889,5167946.664
POINT (1445225.32727906 5044983.6554862),122312,AIMS,115924,7,Innes Street,"7 Innes Street, Waimate",Waimate District,,,,,,7,,,,Innes,Street,,,,Waimate,Waimate,Thoroughfare,Current,171.045337,-44.73180387,Innes,,,Waimate,Waimate,Innes Street,"7 Innes Street, Waimate",1445225.327,5044983.655
POINT (1443963.17301392 5046006.2153638),948255,AIMS,842022,9,Short Street,"9 Short Street, Waimate",Waimate District,,,,,,9,,,,Short,Street,,,,Waimate,Waimate,Thoroughfare,Current,171.029719,-44.72233,Short,,,Waimate,Waimate,Short Street,"9 Short Street, Waimate",1443963.173,5046006.215
POINT (1244207.12945545 4826797.22090128),93576,AIMS,88371,2,Ward Parade,"2 Ward Parade, Bluff",Invercargill City,,,,,,2,,,,Ward,Parade,,,,Bluff,Bluff,Thoroughfare,Current,168.3528282,-46.61790552,Ward,,,Bluff,Bluff,Ward Parade,"2 Ward Parade, Bluff",1244207.129,4826797.221
POINT (1243616.51575391 4828715.85622911),93387,AIMS,88191,30,Gore Street,"30 Gore Street, Bluff",Invercargill City,,,,,,30,,,,Gore,Street,,,,Bluff,Bluff,Thoroughfare,Current,168.3466172,-46.60038277,Gore,,,Bluff,Bluff,Gore Street,"30 Gore Street, Bluff",1243616.516,4828715.856
POINT (1241864.5266972 4852863.90241034),88275,AIMS,83404,130,Ross Street,"130 Ross Street, Grasmere, Invercargill",Invercargill City,,,,,,130,,,,Ross,Street,,,,Grasmere,Invercargill,Thoroughfare,Current,168.3423864,-46.38285073,Ross,,,Grasmere,Invercargill,Ross Street,"130 Ross Street, Grasmere, Invercargill",1241864.527,4852863.902
POINT (1241775.19653202 4853014.01257127),88366,AIMS,83492,158,Drury Lane,"158 Drury Lane, Grasmere, Invercargill",Invercargill City,,,,,,158,,,,Drury,Lane,,,,Grasmere,Invercargill,Thoroughfare,Current,168.3413433,-46.38145698,Drury,,,Grasmere,Invercargill,Drury Lane,"158 Drury Lane, Grasmere, Invercargill",1241775.197,4853014.013
POINT (1241346.93164634 4852937.11330069),88503,AIMS,83627,35,Palmer Street,"35 Palmer Street, Grasmere, Invercargill",Invercargill City,,,,,,35,,,,Palmer,Street,,,,Grasmere,Invercargill,Thoroughfare,Current,168.3357337,-46.38192,Palmer,,,Grasmere,Invercargill,Palmer Street,"35 Palmer Street, Grasmere, Invercargill",1241346.932,4852937.113
POINT (1241716.18590342 4852189.87179556),88761,AIMS,83879,111,Bay Road,"111 Bay Road, Grasmere, Invercargill",Invercargill City,,,,,,111,,,,Bay,Road,,,,Grasmere,Invercargill,Thoroughfare,Current,168.3399481,-46.38881825,Bay,,,Grasmere,Invercargill,Bay Road,"111 Bay Road, Grasmere, Invercargill",1241716.186,4852189.872
POINT (1241863.24817493 4852101.78388485),89008,AIMS,84120,3,Drury Lane,"3 Drury Lane, Grasmere, Invercargill",Invercargill City,,,,,,3,,,,Drury,Lane,,,,Grasmere,Invercargill,Thoroughfare,Current,168.3417871,-46.38968623,Drury,,,Grasmere,Invercargill,Drury Lane,"3 Drury Lane, Grasmere, Invercargill",1241863.248,4852101.784
